"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒄀","𒄀","GI","GI (EŠŠA2, EŠŠAx, GE, GIN6), GIN7, KE2, KI2, QAN2, QE3, QI3, SEG17, SI22, SIG17, TAR5, TARU5)","GI (<font color=""#c5000b"">EŠŠA<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: only EŠŠA<sub>x</sub>)</font>, EŠŠA<sub>x</sub> <font color=""#878787"">(MesZL: Deimel and Labat EŠŠA<sub>2</sub>, also ŠU<sub>2</sub> (no. 869), to be erased)</font>, GE, GIN<sub>6</sub> <font color=""#878787"">(MesZL: Labat GIN<sub>7</sub>)</font>, <font color=""#c5000b"">GIN<sub>7</sub></font> <font color=""#878787"">(Labat; MesZL: GIN<sub>7</sub> = GIM (no. 686))</font>, KE<sub>2</sub> <font color=""#878787"">(MesZL: Deimel and vSoden KE<sub>3</sub>)</font>, KI<sub>2</sub>, QAN<sub>2</sub>, QE<sub>3</sub>, QI<sub>3</sub>, SEG<sub>17</sub> <font color=""#878787"">(MesZL: SEG<sub>17</sub> = nos. 141 and 745)</font>, SI<sub>22</sub> <font color=""#878787"">(MesZL: SI<sub>22</sub> = nos. 141 and 745)</font>, SIG<sub>17</sub> <font color=""#878787"">(MesZL: SIG<sub>17</sub> = nos. 141 and 745)</font>, TAR<sub>5</sub>, TARU<sub>5</sub>)","141","085","U+12100 (GI)","GI (EŠŠA2 (Labat; MesZL: only EŠŠAx), EŠŠAx (MesZL: Deimel and Labat EŠŠA2, also ŠU2 (no. 869), to be erased), GE, GIN6 (MesZL: Labat GIN7), GIN7 (Labat; MesZL: GIN7 = GIM (no. 686)), KE2 (MesZL: Deimel and vSoden KE3), KI2, QAN2, QE3, QI3, SEG17 (MesZL: SEG17 = nos. 141 and 745), SI22 (MesZL: SI22 = nos. 141 and 745), SIG17 (MesZL: SIG17 = nos. 141 and 745), TAR5, TARU5)","GI (ESHSHA2, ESHSHAx, GE, GIN6), GIN7, KE2, KI2, QAN2, QE3, QI3, SEG17, SI22, SIG17, TAR5, TARU5)","085-GI",141
"𒄁","𒄁","GI × E","GI × E","GI × E (Hittite esp. Hurrian)","141 (sign GI)","085 (sign GI)","U+12101 (GI TIMES E)","GI × E (Hittite esp. Hurrian)","GI × E","–",141
"𒄂","𒄂","GI × U","GI × U","GI × U","141 (sign GI)","085 (sign GI)","U+12102 (GI TIMES U)","GI × U","GI × U","–",141
"𒄀𒇻","𒄀𒇻","GI.LU","GI.LU (AMA3)","GI.LU (AMA<sub>3</sub> <font color=""#878787"">(MesZL: to be erased)</font>)","141+812","085+537","U+12100 & U+121FB (GI & lu)","GI.LU (AMA3 (MesZL: to be erased))","GI.LU (AMA3)","–",141
"𒄀𒈾𒀊𒌈","𒄀𒈾𒀊𒌈","GI.NA.AB.TUM","GI.NA.AB.TUM (ŠUTUM2)","GI.NA.AB.TUM (ŠUTUM<sub>2</sub>)","141+110+223+354","085+070+128+207","U+12100 & U+1223E & U+1200A & U+12308 (GI & NA & AB & TUM)","GI.NA.AB.TUM (ŠUTUM2)","GI.NA.AB.TUM (SHUTUM2)","–",141
"𒄀𒈾𒀊𒌌","𒄀𒈾𒀊𒌌","GI.NA.AB.UL","GI.NA.AB.UL (GI.NA.AB.DU7; ŠUTUM)","GI.NA.AB.UL (GI.NA.AB.DU<sub>7</sub>; ŠUTUM)","141+110+223+698","085+070+128+441","U+12100 & U+1223E & U+1200A & U+1230C (GI & NA & AB & U GUD)","GI.NA.AB.UL (GI.NA.AB.DU7; ŠUTUM)","GI.NA.AB.UL (GI.NA.AB.DU7; SHUTUM)","–",141
"𒄀𒆸𒆸","𒄀𒆸𒆸","GI.NIGIN","GI.NIGIN (GI.LAGAB+LAGAB, GI.LAGAB.LAGAB; GARADIN5, KARADIN5)","GI.NIGIN (GI.LAGAB+LAGAB, GI.LAGAB.LAGAB; GARADIN<sub>5</sub> <font color=""#878787"">(MesZL: after T.-Dangin, also NIGIN (no. 804))</font>, KARADIN<sub>5</sub> <font color=""#878787"">(MesZL: after T.-Dangin, also NIGIN (no. 804)</font>)","141+804","085+529","U+12100 & U+121B8 & U+121B8 (GI & LAGAB & LAGAB)","GI.NIGIN (GI.LAGAB+LAGAB, GI.LAGAB.LAGAB; GARADIN5 (MesZL: after T.-Dangin, also NIGIN (no. 804)), KARADIN5 (MesZL: after T.-Dangin, also NIGIN (no. 804)))","GI.NIGIN (GI.LAGAB+LAGAB, GI.LAGAB.LAGAB; GARADIN5, KARADIN5)","–",141
"𒄄","𒄄","GI₄","GI4 (GI gunû; GA8, GAGRI, GE4, KI8, QE4, QI4)","GI<sub>4</sub> (GI <i>gunû</i>; GA<sub>8</sub> <font color=""#878787"">(MesZL: ?)</font>, GAGRI <font color=""#878787"">(MesZL: ?)</font>, GE<sub>4</sub>, KI<sub>8</sub>, QE<sub>4</sub>, QI<sub>4</sub>)","507","326","U+12104 (GI4)","GI4 (GI gunû; GA8 (MesZL: ?), GAGRI (MesZL: ?), GE4, KI8, QE4, QI4)","GI4 (GI gunû; GA8, GAGRI, GE4, KI8, QE4, QI4)","326-GI4",507
"𒄆","𒄆","GI₄ crossing GI₄","GI4 crossing GI4 (GI4 over GI4 crossed; GIGI)","GI<sub>4</sub> crossing GI<sub>4</sub> (GI<sub>4</sub> over GI<sub>4</sub> crossed; GIGI <font color=""#878787"">(MesZL: also GI<sub>4</sub> over GI<sub>4</sub>)</font>)","508","326a","U+12106 (GI4 CROSSING GI4)","GI4 crossing GI4 (GI4 over GI4 crossed; GIGI (MesZL: also GI4 over GI4))","GI4 crossing GI4 (GI4 over GI4 crossed; GIGI)","–",508
"𒄅","𒄅","GI₄ over GI₄","GI4 over GI4 (GIGI, ESIR5)","GI<sub>4</sub> over GI<sub>4</sub> (GIGI <font color=""#878787"">(MesZL: also GI<sub>4</sub> crossing GI<sub>4</sub>)</font>, ESIR<sub>5</sub>)","508","326a","U+12105 (GI4 OVER GI4)","GI4 over GI4 (GIGI (MesZL: also GI4 crossing GI4), ESIR5)","GI4 over GI4 (GIGI, ESIR5)","–",508
"𒄇","𒄇","GIDIM","GIDIM (KITIM)","GIDIM (<font color=""#878787"">(MesZL: Deimel GIDIM<sub>3</sub>)</font>, KITIM)","830","576","U+12107 (GIDIM)","GIDIM ( (MesZL: Deimel GIDIM3), KITIM)","GIDIM (KITIM)","576-GIDIM",830
"𒈪𒉭","𒈪𒉭","GIG","GIG (MI.NUNUZ; GE17, GI17, GIB3, GIK, GIQ, KIK, QIQ)","GIG (MI.NUNUZ; GE<sub>17</sub>, GI<sub>17</sub>, GIB<sub>3</sub> <font color=""#878787"">(MesZL: in Emesal MU.GIG)</font>, GIK, GIQ, KIK, QIQ)","705","446","U+1222A & U+1226D (MI & NUNUZ)","GIG (MI.NUNUZ; GE17, GI17, GIB3 (MesZL: in Emesal MU.GIG), GIK, GIQ, KIK, QIQ)","GIG (MI.NUNUZ; GE17, GI17, GIB3, GIK, GIQ, KIK, QIQ)","446-GIG",705
"𒄃","𒄃","GIL","GIL (GI over GI parallel or GI crossing GI; ESIR4, GE16, GEL, GI16, GIB, GIG3, GILIM, GILLIM, ḪIL, KIL2, KILIM2, QIL2, QILI2, UNU10)","GIL (GI over GI parallel or GI crossing GI; ESIR<sub>4</sub>, GE<sub>16</sub>, GEL, GI<sub>16</sub>, GIB, GIG<sub>3</sub> <font color=""#878787"">(MesZL: not occupable)</font>, GILIM <font color=""#878787"">(MesZL: Deimel differently)</font>, <font color=""#c5000b"">GILLIM</font> <font color=""#878787"">(Labat; MesZL: GILLIM missing)</font>, <font color=""#c5000b"">ḪIL</font> <font color=""#878787"">(Labat; MesZL: ḪIL missing)</font>, KIL<sub>2</sub>, KILIM<sub>2</sub>, QIL<sub>2</sub>, QILI<sub>2</sub> <font color=""#878787"">(MesZL: ?)</font>, UNU<sub>10</sub>)","105","067","U+12103 (GI CROSSING GI)","GIL (GI over GI parallel or GI crossing GI; ESIR4, GE16, GEL, GI16, GIB, GIG3 (MesZL: not occupable), GILIM (MesZL: Deimel differently), GILLIM (Labat; MesZL: GILLIM missing), ḪIL (Labat; MesZL: ḪIL missing), KIL2, KILIM2, QIL2, QILI2 (MesZL: ?), UNU10)","GIL (GI over GI parallel or GI crossing GI; ESIR4, GE16, GEL, GI16, GIB, GIG3, GILIM, GILLIM, HIL, KIL2, KILIM2, QIL2, QILI2, UNU10)","067-GI_cross_GI",105
"𒁶","𒁶","GIM","GIM (DEM2, DIM2, DIN3, GE18, GEM, GEN7, GI18, GIMI, GIN7, KEM, KI5, KIM, KIN8, KINME, LUBUD, MUŠDA, MUŠDAM, MUŠDAMA, MUŠDAMMA, QIM, QIN2, ŠIDI, ŠIDIM, ŠITIM, TAM6, ṬEM2, ṬIM2)","GIM (DEM<sub>2</sub>, DIM<sub>2</sub>, DIN<sub>3</sub>, GE<sub>18</sub>, GEM, GEN<sub>7</sub>, GI<sub>18</sub>, GIMI, GIN<sub>7</sub> <font color=""#878787"">(MesZL: Labat differently)</font>, KEM, <font color=""#c5000b"">KI<sub>5</sub></font> <font color=""#878787"">(Labat; MesZL: KI<sub>5</sub> missing)</font>, KIM, KIN<sub>8</sub>, <font color=""#c5000b"">KINME</font> <font color=""#878787"">(Labat; MesZL: KINME missing)</font>, <font color=""#c5000b"">LUBUD</font> <font color=""#878787"">(Labat; MesZL: LUBUD missing)</font> MUŠDA, MUŠDAM, MUŠDAMA, MUŠDAMMA, QIM <font color=""#878787"">(MesZL: Deimel QIM<sub>2</sub>)</font>, QIN<sub>2</sub> <font color=""#878787"">(Labat: ?; MesZL: QIN<sub>2</sub> missing)</font>, ŠIDI <font color=""#878787"">(MesZL: to be erased?)</font>, ŠIDIM, ŠITIM, <font color=""#c5000b"">TAM<sub>6</sub></font> <font color=""#878787"">(Labat; MesZL: TAM<sub>6</sub> missing)</font>, ṬEM<sub>2</sub>, ṬIM<sub>2</sub>)","686","440","U+12076 (DIM2)","GIM (DEM2, DIM2, DIN3, GE18, GEM, GEN7, GI18, GIMI, GIN7 (MesZL: Labat differently), KEM, KI5 (Labat; MesZL: KI5 missing), KIM, KIN8, KINME (Labat; MesZL: KINME missing), LUBUD (Labat; MesZL: LUBUD missing), MUŠDA, MUŠDAM, MUŠDAMA, MUŠDAMMA, QIM (MesZL: Deimel QIM2), QIN2 (Labat: ?; MesZL: QIN2 missing), ŠIDI (MesZL: to be erased?), ŠIDIM, ŠITIM, TAM6 (Labat; MesZL: TAM6 missing), ṬEM2, ṬIM2)","GIM (DEM2, DIM2, DIN3, GE18, GEM, GEN7, GI18, GIMI, GIN7, KEM, KI5, KIM, KIN8, KINME, LUBUD, MUSHDA, MUSHDAM, MUSHDAMA, MUSHDAMMA, QIM, QIN2, SHIDI, SHIDIM, SHITIM, TAM6, ṬEM2, ṬIM2)","440-DIM2",686
"𒂅","𒂅","GIN₂","GIN2 (AGA3, DU5, DUG5, DUN3, GE11, GI11, GIG4, GIM2, PUŠ4, SU14, SU18, SUG5, SUK5, TU18, TUG8, TUN3, ṬU, ṬUN)","GIN<sub>2</sub> (AGA<sub>3</sub>, DU<sub>5</sub>, DUG<sub>5</sub>, DUN<sub>3</sub>, GE<sub>11</sub> <font color=""#878787"">(KŠ: in MesZL index erroneously 595)</font>, GI<sub>11</sub> <font color=""#878787"">(MesZL: ?)</font>, GIG<sub>4</sub> <font color=""#878787"">(MesZL: ?)</font>, GIM<sub>2</sub>, PUŠ<sub>4</sub>, <font color=""#c5000b"">SU<sub>14</sub></font> <font color=""#878787"">(Labat; MesZL: SU<sub>18</sub>, SU<sub>14</sub> = ZUM no. 884)</font>, SU<sub>18</sub>, SUG<sub>5</sub> <font color=""#878787"">(MesZL: Deimel SUG<sub>7</sub>)</font>, SUK<sub>5</sub> <font color=""#878787"">(MesZL: Deimel SUG<sub>7</sub>)</font>, TU<sub>18</sub>, TUG<sub>8</sub>, TUN<sub>3</sub>, ṬU, <font color=""#c5000b"">ṬUN</font> <font color=""#878787"">(Labat; MesZL: ṬUN missing)</font>)","836","595","U+12085 (DUN3)","GIN2 (AGA3, DU5, DUG5, DUN3, GE11 (KŠ: in MesZL index erroneously no. 595), GI11 (MesZL: ?), GIG4 (MesZL: ?), GIM2, PUŠ4, SU14 (Labat; MesZL: SU18, SU14 = ZUM no. 884)), SU18, SUG5 (MesZL: Deimel SUG7), SUK5 (MesZL: Deimel SUG7), TU18, TUG8, TUN3, ṬU, ṬUN (Labat; MesZL: ṬUN missing))","GIN2 (AGA3, DU5, DUG5, DUN3, GE11, GI11, GIG4, GIM2, PUSH4, SU14, SU18, SUG5, SUK5, TU18, TUG8, TUN3, ṬU, ṬUN)","595-GIN2",836
"𒄫","𒄫","GIR","GIR (ḪA gunû; BIS2, BIŠ, BUŠ2, GER, GIRI, ḪA6, KAR4, KER, KIR, KIRI, PAŠ, PEŠ, PIS, PIŠ, PIŠA, PUS, PUŠ3, QAR5, QER, QIR, QIRI)","GIR (ḪA <i>gunû</i>; BIS<sub>2</sub>, BIŠ, BUŠ<sub>2</sub> <font color=""#878787"">(MesZL: perhaps to be erased)</font>, GER, GIRI</font> <font color=""#878787"">(MesZL: Deimel differently)</font>, ḪA<sub>6</sub>, KAR<sub>4</sub>, KER, KIR, KIRI, PAŠ <font color=""#878787"">(MesZL: ?, Hittite)</font>, PEŠ, PIS, PIŠ, PIŠA, PUS, PUŠ<sub>3</sub>, QAR<sub>5</sub>, QER, QIR, QIRI)","558","346","U+1212B (HA GUNU)","GIR (ḪA gunû; BIS2, BIŠ, BUŠ2 (MesZL: perhaps to be erased), GER, GIRI (MesZL: Deimel differently), ḪA6, KAR4, KER, KIR, KIRI, PAŠ (MesZL: ?, Hittite), PEŠ, PIS, PIŠ, PIŠA, PUS, PUŠ3, QAR5, QER, QIR, QIRI)","GIR (HA gunû; BIS2, BISH, BUSH2, GER, GIRI, HA6, KAR4, KER, KIR, KIRI, PASH, PESH, PIS, PISH, PISHA, PUS, PUSH3, QAR5, QER, QIR, QIRI)","346-PESH",558
"𒄈","𒄈","GIR₂","GIR2 (GER2, GIRI2, MER3, MERI3, PATRU, UKUR)","GIR<sub>2</sub> (GER<sub>2</sub>, GIRI<sub>2</sub> <font color=""#878787"">(MesZL: Deimel GIRI; Labat: in index erroneously GIRI<sub>3</sub>, in syllabary GIRI<sub>2</sub>)</font>, MER<sub>3</sub>, MERI<sub>3</sub> <font color=""#878787"">(MesZL: Deimel MERI)</font>, PATRU, UKUR <font color=""#878787"">(MesZL: both GIR<sub>2</sub> (6) or U<sub>2</sub>.GIR<sub>2</sub> (490) are too uncertain)</font>)","006","010","U+12108 (GIR2)","GIR2 (GER2, GIRI2 (MesZL: Deimel GIRI; Labat: in index erroneously GIRI3, in syllabary GIRI2), MER3, MERI3 (MesZL: Deimel MERI), PATRU, UKUR (MesZL: both GIR2 (no. 6) or U2.GIR2 (no. 490) are too uncertain))","GIR2 (GER2, GIRI2, MER3, MERI3, PATRU, UKUR)","010-GIR2-GIR2_gunu",6
"𒄉","𒄉","GIR₂ gunû","GIR2 gunû (AD2, ADDA4, ADDU3, AT2, AṬ2, KIŠ17, KIŠA2, KIŠI17, TAB2, UL4)","GIR<sub>2</sub> <i>gunû</i> (AD<sub>2</sub>, ADDA<sub>4</sub>, ADDU<sub>3</sub>, AT<sub>2</sub>, AṬ<sub>2</sub>, KIŠ<sub>17</sub>, KIŠA<sub>2</sub>, KIŠI<sub>17</sub>, TAB<sub>2</sub> <font color=""#878787"">(MesZL: ?)</font>, UL<sub>4</sub>)","007","010","U+12109 (GIR2 GUNU)","GIR2 gunû (AD2, ADDA4, ADDU3, AT2, AṬ2, KIŠ17, KIŠA2, KIŠI17, TAB2 (MesZL: ?), UL4)","GIR2 gunû (AD2, ADDA4, ADDU3, AT2, AṬ2, KISH17, KISHA2, KISHI17, TAB2, UL4)","010-GIR2-GIR2_gunu",7
"𒄈𒇲","𒄈𒇲","GIR₂.LAL","GIR2.LAL (GILAL)","GIR<sub>2</sub>.LAL (<font color=""#c5000b"">GILAL</font> <font color=""#878787"">(Labat; MesZL: GILAL missing)</font>)","006+750","010+481","U+12108 & U+121F2 (GIR2 & LAL)","GIR2.LAL (GILAL (Labat; MesZL: GILAL missing))","GIR2.LAL (GILAL)","–",6
"𒄊","𒄊","GIR₃","GIR3 (ANŠE2, ANŠU2, BIR10, GER3, GIRI3, GIRU3, ḪUŠ2, IR9, KIR10, KIRI5, NE3, PIL7, PIRIG, QIR7, SAKKAN, SUMUGAN, SUMUGGA, SUMUKAN, SUMUQAN, ŠAKAN2, ŠAKKAN2, UG2, WIR)","GIR<sub>3</sub> (ANŠE<sub>2</sub></font> <font color=""#878787"">(MesZL: ?)</font>, ANŠU<sub>2</sub></font> <font color=""#878787"">(MesZL: ?)</font>, BIR<sub>10</sub></font> <font color=""#878787"">(MesZL: perhaps to be erased)</font>, GER<sub>3</sub>, GIRI<sub>3</sub>, GIRU<sub>3</sub></font> <font color=""#878787"">(MesZL: Deimel GIRU)</font>, ḪUŠ<sub>2</sub></font> <font color=""#878787"">(MesZL: ?)</font>, IR<sub>9</sub>, KIR<sub>10</sub>, KIRI<sub>5</sub></font> <font color=""#878787"">(MesZL: ?)</font> NE<sub>3</sub></font> <font color=""#878787"">(MesZL: also PIRIG)</font>, PIL<sub>7</sub></font> <font color=""#878787"">(MesZL: also PIRIG, Deimel PIL<sub>3</sub>)</font> PIRIG</font> <font color=""#878787"">(MesZL: also PIRIG)</font> QIR<sub>7</sub>, <font color=""#c5000b"">SAKKAN</font> <font color=""#878787"">(Labat; MesZL: SAKKAN missing)</font>, SUMUGAN, SUMUGGA, SUMUKAN, SUMUQAN, ŠAKAN<sub>2</sub>, ŠAKKAN<sub>2</sub>, UG<sub>2</sub></font> <font color=""#878787"">(MesZL: also PIRIG)</font>, WIR)","701","444","U+1210A (GIR3)","GIR3 (ANŠE2 (MesZL: ?), ANŠU2 (MesZL: ?), BIR10 (MesZL: perhaps to be erased), GER3, GIRI3, GIRU3 (MesZL: Deimel GIRU), ḪUŠ2 (MesZL: ?), IR9, KIR10, KIRI5 (MesZL: ?), NE3 (MesZL: also PIRIG), PIL7 (MesZL: also PIRIG, Deimel PIL3), PIRIG (MesZL: also PIRIG), QIR7, SAKKAN (Labat; MesZL: SAKKAN missing), SUMUGAN, SUMUGGA, SUMUKAN, SUMUQAN, ŠAKAN2, ŠAKKAN2, UG2 (MesZL: also PIRIG), WIR)","GIR3 (ANSHE2, ANSHU2, BIR10, GER3, GIRI3, GIRU3, HUSH2, IR9, KIR10, KIRI5, NE3, PIL7, PIRIG, QIR7, SAKKAN, SUMUGAN, SUMUGGA, SUMUKAN, SUMUQAN, SHAKAN2, SHAKKAN2, UG2, WIR)","444-PIRIG",701
"𒄌","𒄌","GIR₃ × KAR₂","GIR3 × KAR2 (GIR3 × GAN2 tenû; GIR16, GIRI16, QIR8)","GIR<sub>3</sub> × KAR<sub>2</sub> (GIR<sub>3</sub> × GAN<sub>2</sub> <i>tenû</i>; GIR<sub>16</sub>, GIRI<sub>16</sub>, QIR<sub>8</sub>)","675","423","U+1210C (GIR3 TIMES GAN2 TENU)","GIR3 × KAR2 (GIR3 × GAN2 tenû; GIR16, GIRI16, QIR8)","GIR3 × KAR2 (GIR3 × GAN2 tenû; GIR16, GIRI16, QIR8)","–",675
"𒄊𒀴","𒄊𒀴","GIR₃.ARAD","GIR3.ARAD (ŠAGGIN, ŠAGGINA, ŠAKKAN6, ŠAKKANA6)","GIR<sub>3</sub>.ARAD (ŠAGGIN, ŠAGGINA, ŠAKKAN<sub>6</sub>, ŠAKKANA<sub>6</sub>)","701+018","444+050","U+1210A & U+12034 (GIR3 & ARAD)","GIR3.ARAD (ŠAGGIN, ŠAGGINA, ŠAKKAN6, ŠAKKANA6)","GIR3.ARAD (SHAGGIN, SHAGGINA, SHAKKAN6, SHAKKANA6)","–",701
"𒄊𒁇","𒄊𒁇","GIR₃.BAR","GIR3.BAR (KIŠER, ŠER11)","GIR<sub>3</sub>.BAR (KIŠER, ŠER<sub>11</sub>)","701+121","444+074","U+1210A & U+12047 (GIR3 & BAR)","GIR3.BAR (KIŠER, ŠER11)","GIR3.BAR (KISHER, SHER11)","–",701
"𒄊𒀕𒃲","𒄊𒀕𒃲","GIR₃.ERI₁₁.GAL","GIR3.ERI11.GAL (NERGAL, NERIGAL)","GIR<sub>3</sub>.ERI<sub>11</sub>.GAL (NERGAL</font> <font color=""#878787"">(MesZL: also PIRIG.UNUG.GAL, GIR<sub>3</sub>.UNUG.GAL))</font>, NERIGAL <font color=""#878787"">(MesZL: also PIRIG.UNUG.GAL, GIR<sub>3</sub>.UNUG.GAL)</font>)","701+232+553","444+195+343","U+1210A & U+12015 & U+120F2 (GIR3 & AB GUNU & GAL)","GIR3.ERI11.GAL (NERGAL (MesZL: also PIRIG.UNUG.GAL, GIR3.UNUG.GAL)), NERIGAL (MesZL: also PIRIG.UNUG.GAL, GIR3.UNUG.GAL))","GIR3.ERI11.GAL (NERGAL, NERIGAL)","–",701
"𒄊𒄊","𒄊𒄊","GIR₃.GIR₃","GIR3.GIR3 (DIDNU, TIDINU, TIDNU)","GIR<sub>3</sub>.GIR<sub>3</sub> (DIDNU <font color=""#878787"">(MesZL: DIDNU = PIRIG.PIRIG (nos. 701+701), GIR<sub>3</sub>.GIR<sub>3</sub> (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR<sub>3</sub> opposing GIR<sub>3</sub> (no. 701) etc.)</font>, <font color=""#c5000b"">TIDINU</font> <font color=""#878787"">(Labat; MesZL: TIDINU missing)</font>, TIDNU <font color=""#878787"">(MesZL: TIDNU = PIRIG.PIRIG (nos. 701+701), GIR<sub>3</sub>.GIR<sub>3</sub> (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR<sub>3</sub> opposing GIR<sub>3</sub> (no. 701) etc.)</font>)","701+701","444+444","U+1210A & U+ 1210A (GIR3 & GIR3)","GIR3.GIR3 (DIDNU (MesZL: DIDNU = PIRIG.PIRIG (nos. 701+701), GIR3.GIR3 (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR3 opposing GIR3 (no. 701) etc.), TIDINU (Labat; MesZL: TIDINU missing), TIDNU (MesZL: TIDNU = PIRIG.PIRIG (nos. 701+701), GIR3.GIR3 (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR3 opposing GIR3 (no. 701) etc.))","GIR3.GIR3 (DIDNU, TIDINU, TIDNU)","–",701
"𒊎","𒊎","GIR₃.GIR₃ inversum","GIR3.GIR3 inversum (DIDNU, TIDNU)","GIR<sub>3</sub>.GIR<sub>3</sub> inversum (DIDNU <font color=""#878787"">(MesZL: DIDNU = PIRIG.PIRIG (nos. 701+701), GIR<sub>3</sub>.GIR<sub>3</sub> (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR<sub>3</sub> opposing GIR<sub>3</sub> (no. 701) etc.)</font>, TIDNU <font color=""#878787"">(MesZL: TIDNU = PIRIG.PIRIG (nos. 701+701), GIR<sub>3</sub>.GIR<sub>3</sub> (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR<sub>3</sub> opposing GIR<sub>3</sub> (no. 701) etc.)</font>)","701","444n2","U+1228E (PIRIG OPPOSING PIRIG)","GIR3.GIR3 inversum (DIDNU (MesZL: DIDNU = PIRIG.PIRIG (nos. 701+701), GIR3.GIR3 (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR3 opposing GIR3 (no. 701) etc.), TIDNU (MesZL: TIDNU = PIRIG.PIRIG (nos. 701+701), GIR3.GIR3 (nos. 701+701), PIRIG opposing PIRIG (no. 701), GIR3 opposing GIR3 (no. 701) etc.))","GIR3.GIR3 inversum (DIDNU, TIDNU)","–",701
"𒄊𒍞","𒄊𒍞","GIR₃.ZA tenû","GIR3.ZA tenû (IRGI)","GIR<sub>3</sub>.ZA <i>tenû</i> (IRGI)","701+854","444+380, 379","U+1210A & U+1235E (GIR3 & ZA TENU)","GIR3.ZA tenû (IRGI)","GIR3.ZA tenû (IRGI)","–",701
"𒌋𒀜","𒌋𒀜","GIR₄","GIR4 (U.AD; ISI3, ISIM3, ISIMU3, KIR13, QIR3)","GIR<sub>4</sub> (U.AD; ISI<sub>3</sub></font> <font color=""#878787"">(MesZL: or rather GIR<sub>4</sub>.SAR = ISI(M)<sub>3</sub>.MU<sub>2</sub>?, Deimel and Labat differently)</font>, ISIM<sub>3</sub></font> <font color=""#878787"">(MesZL: or rather GIR<sub>4</sub>.SAR = ISI(M)<sub>3</sub>.MU<sub>2</sub>?, Deimel and Labat differently)</font>, ISIMU<sub>3</sub> <font color=""#878787"">(MesZL: or rather GIR<sub>4</sub>.SAR = ISI(M)<sub>3</sub>.MU<sub>2</sub>?, Deimel and Labat differently)</font>, KIR<sub>13</sub>, <font color=""#c5000b"">QIR<sub>3</sub></font> <font color=""#878787"">(Labat: in syllabary QIR<sub>3</sub> = LAGAB (no. 755), but in index QIR<sub>3</sub> =? GIR<sub>4</sub> (no. 683); MesZL: QIR<sub>3</sub> = LAGAB (755))</font>)","683","430","U+1230B & U+1201C (U & AD)","GIR4 (U.AD; ISI3 (MesZL: or rather GIR4.SAR = ISI(M)3.MU2?, Deimel and Labat differently), ISIM3 (MesZL: or rather GIR4.SAR = ISI(M)3.MU2?, Deimel and Labat differently), ISIMU3 (MesZL: or rather GIR4.SAR = ISI(M)3.MU2?, Deimel and Labat differently), KIR13, QIR3 (Labat: in syllabary QIR3 = LAGAB (no. 755), but in index QIR3 =? GIR4 (no. 683); MesZL: QIR3 = LAGAB (no. 755)))","GIR4 (U.AD; ISI3, ISIM3, ISIMU3, KIR13, QIR3)","430-GIR4",683
"𒌋𒀜𒊬","𒌋𒀜𒊬","GIR₄.SAR","GIR4.SAR (ISIMU3)","GIR<sub>4</sub>.SAR (ISIMU<sub>3</sub> <font color=""#878787"">(MesZL: GIR<sub>4</sub> (no. 683) or rather GIR<sub>4</sub>.SAR = ISI(M)<sub>3</sub>.MU<sub>2</sub>?, Deimel and Labat differently)</font>)","683+541","430+331e, 152iv","U+1230B & U+1201C & U+122AC (U & AD & SAR)","GIR4.SAR (ISIMU3 (MesZL: GIR4 (no. 683) or rather GIR4.SAR = ISI(M)3.MU2?, Deimel and Labat differently))","GIR4.SAR (ISIMU3)","–",683
